number of trees with integer branch lengths: 85
85 trees exhibit unobserved unifurcation from root. Adding psuedocounts to these roots
params = [0.48780495956212744, 0.9228463119358064]
tree	alleles	logLikelihood
1	39	-35.1955730751
2	38	-36.7609456731
3	38	-36.7609456731
4	38	-36.7609456731
5	38	-36.7609456731
6	38	-36.7609456731
7	38	-36.7609456731
8	38	-36.9840892245
9	38	-36.9840892245
10	38	-36.9840892245
11	38	-36.9840892245
12	38	-36.9840892245
13	38	-36.9840892245
14	38	-36.9840892245
15	38	-36.9840892245
16	38	-36.9840892245
17	38	-36.9840892245
18	38	-36.9840892245
19	38	-36.9840892245
20	38	-36.9840892245
21	38	-36.9840892245
22	38	-36.9840892245
23	38	-36.9840892245
24	38	-36.9840892245
25	38	-36.9840892245
26	38	-36.9840892245
27	38	-36.9840892245
28	37	-38.5494618225
29	37	-38.5494618225
30	37	-38.5494618225
31	37	-38.5494618225
32	37	-38.5494618225
33	37	-38.5494618225
34	37	-38.5494618225
35	37	-38.5494618225
36	37	-38.5494618225
37	37	-38.5494618225
38	37	-38.5494618225
39	37	-38.5494618225
40	37	-38.5494618225
41	37	-38.5494618225
42	37	-38.5494618225
43	37	-38.5494618225
44	37	-38.5494618225
45	37	-38.5494618225
46	37	-38.5494618225
47	37	-38.5494618225
48	37	-38.5494618225
49	37	-38.5494618225
50	37	-38.5494618225
51	37	-38.5494618225
52	37	-38.5494618225
53	37	-38.7726053738
54	37	-38.7726053738
55	37	-38.7726053738
56	37	-38.7726053738
57	37	-38.7726053738
58	37	-38.7726053738
59	37	-38.7726053738
60	37	-38.7726053738
61	37	-38.7726053738
62	37	-38.7726053738
63	37	-38.7726053738
64	37	-38.7726053738
65	37	-38.7726053738
66	37	-38.7726053738
67	37	-38.7726053738
68	37	-38.7726053738
69	37	-38.7726053738
70	37	-38.7726053738
71	37	-38.7726053738
72	37	-38.7726053738
73	37	-38.7726053738
74	37	-38.7726053738
75	37	-38.7726053738
76	36	-40.3379779718
77	36	-40.3379779718
78	36	-40.3379779718
79	36	-40.5611215231
80	36	-40.5611215231
81	36	-40.5611215231
82	36	-40.5611215231
83	36	-40.5611215231
84	36	-40.5611215231
85	36	-40.5611215231
