simcell_51	chartreuse
simcell_50	mediumorchid
simcell_48,simcell_47	indianred
simcell_40,simcell_39	gold
simcell_55	indigo
simcell_59	mediumvioletred
simcell_46,simcell_44,simcell_45	yellow
simcell_64,simcell_1,simcell_65,simcell_53,simcell_52,simcell_78,simcell_73,simcell_71,simcell_70,simcell_77,simcell_76,simcell_54,simcell_42,simcell_43,simcell_66,simcell_67,simcell_60,simcell_61,simcell_62,simcell_63,simcell_49,simcell_68,simcell_69,simcell_86,simcell_87,simcell_56,simcell_85,simcell_82,simcell_83,simcell_80,simcell_88	gray
simcell_79	darkolivegreen
simcell_84	brown
simcell_41	darkseagreen
simcell_81	lightsalmon
simcell_72	mediumblue
simcell_58,simcell_57	firebrick
simcell_75	orange
simcell_74	springgreen
