simcell_53	springgreen
simcell_52	firebrick
simcell_55	orange
simcell_63	turquoise
simcell_76,simcell_75	gold
simcell_58	brown
simcell_48	lightsalmon
simcell_92	silver
simcell_68	cyan
simcell_79	olivedrab
simcell_73,simcell_72,simcell_71,simcell_70	mediumvioletred
simcell_97	chartreuse
simcell_96	mediumblue
simcell_78	darkolivegreen
simcell_81	darkseagreen
simcell_1,simcell_93,simcell_57,simcell_86,simcell_64,simcell_65,simcell_66,simcell_67,simcell_60,simcell_61,simcell_62,simcell_56,simcell_59,simcell_69,simcell_54,simcell_95,simcell_94,simcell_84,simcell_85,simcell_82,simcell_83,simcell_80,simcell_91,simcell_74,simcell_90	gray
simcell_51,simcell_50,simcell_49	indianred
simcell_77	yellow
simcell_87,simcell_88,simcell_89	mediumorchid
