simcell_97,simcell_96	darkturquoise
simcell_4	indigo
simcell_1	gray
simcell_121	navy
simcell_122	orchid
simcell_77,simcell_76	lightsalmon
simcell_82,simcell_80,simcell_81	turquoise
simcell_79,simcell_78	gold
simcell_26	mediumvioletred
simcell_120	darkgray
simcell_84,simcell_83	brown
simcell_86	orange
simcell_87	lightgoldenrodyellow
simcell_85	darkmagenta
simcell_113	violet
simcell_115	goldenrod
simcell_114	darkgreen
simcell_88	lightpink
simcell_89	teal
simcell_106,simcell_107,simcell_108,simcell_109,simcell_111,simcell_110,simcell_112	darkseagreen
simcell_117,simcell_116	darkviolet
simcell_54	silver
simcell_95,simcell_94	skyblue
simcell_99,simcell_100	chartreuse
simcell_103	mediumorchid
simcell_91	yellowgreen
simcell_90	yellow
simcell_93	darkolivegreen
simcell_92	thistle
simcell_124,simcell_125,simcell_119,simcell_123,simcell_104,simcell_105,simcell_118	firebrick
simcell_102	lavender
simcell_98	cyan
simcell_101	olivedrab
