simcell_94,simcell_93	darkolivegreen
simcell_60	indigo
simcell_61	darkseagreen
simcell_62	mediumvioletred
simcell_92	springgreen
simcell_70,simcell_69	gold
simcell_95	mediumblue
simcell_87	brown
simcell_84	lightsalmon
simcell_96	yellow
simcell_91	orange
simcell_72	firebrick
simcell_73	indianred
simcell_1,simcell_100,simcell_90,simcell_79,simcell_78,simcell_71,simcell_77,simcell_76,simcell_75,simcell_74,simcell_64,simcell_65,simcell_66,simcell_67,simcell_63,simcell_59,simcell_58,simcell_68,simcell_98,simcell_86,simcell_97,simcell_85,simcell_82,simcell_83,simcell_80,simcell_81,simcell_106,simcell_107,simcell_104,simcell_101,simcell_102,simcell_103,simcell_88,simcell_89	gray
simcell_105	mediumorchid
simcell_99	chartreuse
