simcell_65,simcell_66	mediumorchid
simcell_110,simcell_112	mediumvioletred
simcell_73,simcell_68,simcell_77,simcell_76,simcell_75,simcell_74	indianred
simcell_71,simcell_70	darkolivegreen
simcell_67	olivedrab
simcell_106,simcell_105,simcell_108,simcell_109	firebrick
simcell_72	brown
simcell_1,simcell_93,simcell_90,simcell_79,simcell_78,simcell_95,simcell_94,simcell_99,simcell_97,simcell_86,simcell_87,simcell_84,simcell_96,simcell_82,simcell_83,simcell_80,simcell_81,simcell_91,simcell_104,simcell_101,simcell_102,simcell_103,simcell_89	gray
simcell_69	turquoise
simcell_114	yellow
simcell_85	silver
simcell_88	skyblue
simcell_92	chartreuse
simcell_111	orange
simcell_107	lightsalmon
simcell_113	springgreen
simcell_98	cyan
simcell_100	mediumblue
